Wall time,Step,Value
1547523437.8479848,90,3.8926103115081787
1547538460.8573124,95,3.6194803714752197
1547550665.9793942,98,3.4759817123413086
1547596541.6129277,100,3.3893802165985107
1547608952.5742266,102,3.30816650390625
1547621094.1547587,104,3.2319445610046387
1547633217.4877527,106,3.160705089569092
1547645333.6695237,108,3.092266798019409
1547657797.826233,110,3.028236150741577
1547670551.5931985,114,2.886564254760742
1547683789.6822495,120,2.7635858058929443
1547697468.443854,125,2.6579113006591797
1547711056.7878141,130,2.5680060386657715
1547732719.588571,135,2.488868236541748
1547746075.4652805,140,2.4188876152038574
1547759017.5193717,150,2.3005073070526123
1547771448.2504299,160,2.2072243690490723
1547785319.8541408,170,2.1324143409729004
1547936133.6574545,180,2.070519208908081
1547949518.5826125,190,2.016831636428833
1547962429.9606159,200,1.9735816717147827
1547974784.3945887,225,1.8897061347961426
1547986748.0973837,250,1.8309067487716675
1547998744.739756,275,1.788062572479248
1548010674.7608984,325,1.7347153425216675
1548022605.0358462,350,1.7169921398162842
