Wall time,Step,Value
1546881351.7756407,10,3.6206841468811035
1546893120.0663989,20,3.591402053833008
1546905037.4179518,30,3.557616710662842
1546916911.245257,40,3.522528886795044
1546928818.8226268,43,3.5113577842712402
1546940773.38876,45,3.5034546852111816
1546952749.8425128,47,3.498305320739746
1546964746.424925,49,3.4909884929656982
1546976903.5331283,50,3.4851608276367188
1546989170.9406338,51,3.4820027351379395
1547001342.4245563,53,3.475288152694702
1547013643.9039726,55,3.4668588638305664
1547025905.195793,56,3.460350275039673
1547038271.585161,60,3.450507640838623
1547051094.095253,70,3.408505916595459
1547065416.882456,80,3.363311529159546
1547151934.0976598,82,3.3524820804595947
1547169585.0292356,84,3.3418169021606445
1547192137.4674578,86,3.3284976482391357
1547229859.1137364,88,3.3102798461914062
1547334479.9141855,90,3.2781615257263184
