Wall time,Step,Value
1546892984.1022863,10,3.9945454597473145
1546904882.8026135,20,3.9958388805389404
1546916724.5729513,30,3.9956657886505127
1546928618.5925357,40,3.9985907077789307
1546940563.5190282,43,4.00007438659668
1546952527.0095499,45,3.9997706413269043
1546964508.3000631,47,3.998746395111084
1546976659.3243256,49,3.9989430904388428
1546988920.625317,50,3.99931001663208
1547001073.0169494,51,3.9949092864990234
1547013351.8721883,53,4.002599239349365
1547025589.489739,55,4.0005950927734375
1547037903.491601,56,4.005496025085449
1547050395.6669319,60,4.004429340362549
1547063057.0767138,70,4.013571739196777
1547077438.7363656,80,4.035012722015381
1547163885.370391,82,4.0496721267700195
1547181360.3303387,84,4.059018135070801
1547203924.214902,86,4.0809173583984375
1547241603.230495,88,4.114380836486816
1547346309.1545746,90,4.169472694396973
