,model,i,BLEU,SBLEU,HBLEU1,HBLEU2
42,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.84_alphag1.0,2,0.257325919354,0.465260133297,0.347452017842,0.439893212475
11,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.93_alphag1.0,3,0.237715508523,0.426180725359,0.336167330104,0.447325417745
35,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.95_alphag1.0,3,0.230447605411,0.433937814652,0.327548202523,0.438375664748
55,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.81_alphag1.0,2,0.237742809945,0.473946893192,0.327483666905,0.423369269713
29,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.96_alphag1.0,3,0.225349581109,0.40307598831,0.327182040543,0.44889064504
58,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.97_alphag1.0,2,0.218027536726,0.358511383674,0.325443989292,0.46201868769
9,FS_rf_pres0.5_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_mew0.001_med1_alpha0,3,0.218228168999,0.360389330247,0.325424914394,0.461417887283
48,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat1.00_alphag1.0,3,0.222970580869,0.401836243978,0.324850427373,0.447546293937
17,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.99_alphag1.0,2,0.207155920959,0.346014250299,0.314645138865,0.456887084383
26,FS_rf_pres0.0_iprd1_msk-normal_bs512_d256_l1_glr5e-4_dlr5e-4_gvd0.5_dvd0.5_dti5_rld0.9_alphat0.98_alphag1.0,3,0.205929689323,0.365399288132,0.310953957772,0.448060696585
